n_test,prevalence,pr_auc,roc_auc,brier,logloss,precision_0.005,recall_0.005,value_capture_0.005,precision_0.01,recall_0.01,value_capture_0.01,precision_0.02,recall_0.02,value_capture_0.02,replicate,seed,model,calibration,train_n,val_n,cal_n
50000,0.03498,0.41424695289720614,0.861871951533599,0.025782909668063056,0.10854280662949932,0.884,0.126357918810749,0.07362596733806373,0.774,0.22126929674099485,0.13500709417044374,0.572,0.3270440251572327,0.260983894220143,3,20261016,logistic,platt,300000,40000,40000
50000,0.03498,0.6928641914778173,0.9477522478433985,0.055793478637276774,0.21039114229678257,0.984,0.14065180102915953,0.08039511368689314,0.94,0.2687249857061178,0.17652211798757467,0.853,0.48770726129216696,0.420767727761367,3,20261016,lightgbm,raw,300000,40000,40000
50000,0.03498,0.6928641914778173,0.9477522478433985,0.017218447329153473,0.06988809055282612,0.984,0.14065180102915953,0.08039511368689314,0.94,0.2687249857061178,0.17652211798757467,0.853,0.48770726129216696,0.420767727761367,3,20261016,lightgbm,platt,300000,40000,40000
50000,0.03498,0.7034982756576377,0.9381427040578108,0.017009178176522255,0.07126834243535995,0.996,0.1423670668953688,0.09709560908526307,0.984,0.28130360205831906,0.19087549608202184,0.883,0.5048599199542596,0.43638866596094955,3,20261016,xgboost,raw,300000,40000,40000
50000,0.03498,0.7034982756576377,0.9381427040578106,0.016598960384726524,0.06980221718549728,0.996,0.1423670668953688,0.09709560908526307,0.984,0.28130360205831906,0.19087549608202184,0.883,0.5048599199542596,0.43638866596094955,3,20261016,xgboost,platt,300000,40000,40000
50000,0.03498,0.42322568505008024,0.8628212944842613,0.13175853426393966,0.43039222824803447,0.884,0.126357918810749,0.08417235659642447,0.784,0.22412807318467695,0.15419196086630552,0.589,0.33676386506575184,0.25338001927261905,4,20261116,logistic,raw,300000,40000,40000
50000,0.03498,0.42328241684605805,0.862821365581891,0.025522668206354102,0.10793636546940225,0.884,0.126357918810749,0.08417235659642447,0.784,0.22412807318467695,0.15419196086630552,0.589,0.33676386506575184,0.25338001927261905,4,20261116,logistic,platt,300000,40000,40000
50000,0.03498,0.7067421293616692,0.948516440716622,0.05572347884989527,0.2102551947102437,0.988,0.14122355631789593,0.0945503037105955,0.954,0.2727272727272727,0.18963480740824157,0.869,0.4968553459119497,0.42428035538839787,4,20261116,lightgbm,raw,300000,40000,40000
50000,0.03498,0.7067421293616692,0.948516440716622,0.016695790231635005,0.06813844031387739,0.988,0.14122355631789593,0.0945503037105955,0.954,0.2727272727272727,0.18963480740824157,0.869,0.4968553459119497,0.42428035538839787,4,20261116,lightgbm,platt,300000,40000,40000
50000,0.03498,0.7182443520788991,0.9391162853754107,0.016455302014946938,0.06948772817850113,1.0,0.1429388221841052,0.11310238404811426,0.988,0.28244711263579186,0.2255813106300467,0.894,0.5111492281303602,0.4459668854865756,4,20261116,xgboost,raw,300000,40000,40000
50000,0.03498,0.7182443520788993,0.9391162853754106,0.01601453125476837,0.06788329035043716,1.0,0.1429388221841052,0.11310238404811426,0.988,0.28244711263579186,0.2255813106300467,0.894,0.5111492281303602,0.4459668854865756,4,20261116,xgboost,platt,300000,40000,40000
