fold,model,calibration,success,rank_violations,calibrated_ties,spearman_raw_calibrated,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss,method,lambda1,lambda0,penalty,outer_penalty,status,message,n_iter,objective,gradient_norm,boundary_hit,selected_penalty
3,logistic,opbgb_symmetric_monotone,True,0,275,0.9999999999932321,,,6.202530647609208,,,0.7735135627696661,,,0.1353352832366127,,,,,,0.1220583125595274,monotone_opbgb_symmetric,0.414446339564566,0.414446339564566,0.0001,1e-06,0.0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,33.0,0.12159211639712235,3.673683367217528e-05,True,0.0001
3,logistic,opbgb_two_sided_monotone,True,0,272,0.9999999999972159,,,6.061907135427548,,,0.20099043075838535,,,0.1353352832366127,,,,,,0.12203914599344175,monotone_opbgb_two_sided,0.3492443219276642,0.5636847124851136,0.0001,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,0.1216146758884685,2.8915392738593003e-05,True,0.0001
3,logistic,nested_selected,True,0,272,0.9999999999972159,,,6.061907135427548,,,0.20099043075838535,,,0.1353352832366127,,,,,,0.12203914599344175,monotone_opbgb_two_sided,0.3492443219276642,0.5636847124851136,0.0001,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.0,0.1216146758884685,2.8915392738593003e-05,True,0.0001
3,lightgbm,raw,True,0,596,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,lightgbm,platt,True,0,596,0.9999999999999999,-2.951186242806407,1.3005026873605319,,,,,,,,,,,,,,,,,,,,,,,,,
3,lightgbm,beta,True,0,596,0.9999999999999999,-2.7121398350639776,,1.476409094633273,-1.190670593704843,,,,,,,,,,,,,,,,,,,,,,,
3,lightgbm,isotonic,True,0,49835,0.9908155650797457,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,
3,lightgbm,bgb,True,0,596,0.9999999999999999,,,3.3401712171312696,,,-1.9783580650090518,0.4698963606462317,0.7317570815326648,1.3657944148403702,1855.7517767555973,3721.5035535111947,3761.0209912738756,,,,,,,,,,,,,,,
3,lightgbm,opbgb_symmetric,True,0,596,0.9999999999999999,,,,,,,,,,,,,0.35,0.35,0.10391283142006986,,,,,,,,,,,,
3,lightgbm,opbgb_two_sided_unconstrained,True,0,1067,0.9999995492879614,,,,,,,,,,,,,5.5,1.0,0.10381006470355257,,,,,,,,,,,,
3,lightgbm,opbgb_symmetric_monotone,True,0,596,0.9999999999999999,,,7.3099551957796045,,,0.38323194435910163,,,2.6106929335267983,,,,,,0.10390495286141961,monotone_opbgb_symmetric,0.24601726596826942,0.24601726596826942,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,0.09797507651343491,5.043890062609721e-05,False,0.0
3,lightgbm,opbgb_two_sided_monotone,True,0,596,0.9999999999999999,,,7.38905609893065,,,0.9391828019248643,,,1.4988814220250126,,,,,,0.10377561090808209,monotone_opbgb_two_sided,0.24233563359668997,0.3226678672026047,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,88.0,0.09796164184584459,1.0480869409436106e-05,True,0.0
