fold,model,calibration,success,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss
2,logistic,beta,True,-3.019604544342316,,1.41459843270456,-0.8473741508155658,,,,,,,,,,,
2,logistic,isotonic,True,,,,,72.0,,,,,,,,,,
2,logistic,bgb,True,,,8.35588899064918,,,0.9926431538007666,0.10899628748277658,0.4886297620973194,0.2744524393844206,2684.013590605553,5378.027181211106,5417.544618973787,,,
2,logistic,opbgb_symmetric,True,,,,,,,,,,,,,0.25,0.25,0.09904264459955893
2,logistic,opbgb_two_sided,True,,,,,,,,,,,,,0.25,0.7,0.09899336696488222
2,logistic,nested_selected,True,,,,,,,,,,,,,0.25,0.7,0.09899336696488222
2,lightgbm,raw,True,,,,,,,,,,,,,,,
2,lightgbm,platt,True,-2.9326822454822157,1.1334993707557917,,,,,,,,,,,,,
2,lightgbm,beta,True,-2.704160196101026,,1.3035611799905633,-1.0439209988839562,,,,,,,,,,,
2,lightgbm,isotonic,True,,,,,70.0,,,,,,,,,,
2,lightgbm,bgb,True,,,1.2178059194596598,,,-3.0212669166491466,1.007889284366291,2.2671583970772073,0.4962780100400314,2067.9773155017283,4145.954631003457,4185.472068766137,,,
2,lightgbm,opbgb_symmetric,True,,,,,,,,,,,,,1.4,1.4,0.07596139455610275
2,lightgbm,opbgb_two_sided,True,,,,,,,,,,,,,0.7,2.85,0.07586845510714041
2,lightgbm,nested_selected,True,,,,,,,,,,,,,0.7,2.85,0.07586845510714041
2,xgboost,raw,True,,,,,,,,,,,,,,,
2,xgboost,platt,True,-0.0781214376628932,1.0046156072670311,,,,,,,,,,,,,
2,xgboost,beta,True,0.507054748065237,,1.177474693540682,-0.5354152699956597,,,,,,,,,,,
2,xgboost,isotonic,True,,,,,60.0,,,,,,,,,,
2,xgboost,bgb,True,,,1.8470239324226576,,,0.7270816742191363,0.6557209329362087,1.1298616229847314,0.4095835204996661,2011.2070512530188,4032.4141025060376,4071.9315402687184,,,
2,xgboost,opbgb_symmetric,True,,,,,,,,,,,,,0.2,0.2,0.07366543090511166
2,xgboost,opbgb_two_sided,True,,,,,,,,,,,,,0.25,0.2,0.07364819921167848
2,xgboost,nested_selected,True,,,,,,,,,,,,,0.25,0.2,0.07364819921167848
3,logistic,raw,True,,,,,,,,,,,,,,,
3,logistic,platt,True,-3.461960225145924,0.9543717321529418,,,,,,,,,,,,,
3,logistic,beta,True,-2.033705487837041,,2.382319497587484,-0.448231837788933,,,,,,,,,,,
3,logistic,isotonic,True,,,,,58.0,,,,,,,,,,
3,logistic,bgb,True,,,7.217517947530139,,,1.556869105938088,0.36285909398813493,0.3604794295318514,0.0010831737037305777,2418.0608117413803,4846.121623482761,4885.639061245442,,,
3,logistic,opbgb_symmetric,True,,,,,,,,,,,,,5.5,5.5,0.1218228277419948
