model,calibration,metric,n_units,unit,mean,sd,median,q1,q3,min,max,resampling_interval_low,resampling_interval_high,resamples_enumerated,interval_interpretation
lightgbm,beta,brier,4,temporal fold,0.02399082820003115,0.001359105033705985,0.0240562133380299,0.02339165151582115,0.0246553900222399,0.0222902892079684,0.0255605969160964,0.0228061305037149,0.02511014075834865,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric_monotone,ece,4,temporal fold,0.00619573065055345,0.0016219906993524956,0.00601992257506395,0.0054138804834164495,0.006801772742200949,0.0044198726917474,0.0083232047603385,0.004888561702849325,0.007678707673747075,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric_monotone,ici,4,temporal fold,0.006801241066916475,0.0018061152061518637,0.0062209048122047,0.005928763928380575,0.0070933819507406,0.005329514516019,0.0094336401272375,0.005575459859991324,0.0086073585285534,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric_monotone,cal_intercept,4,temporal fold,-0.05540937481690601,0.38104596264329416,-0.0428296857129087,-0.24336074874131844,0.14512168821150373,-0.5217162545888914,0.3857381267470847,-0.37505813876675764,0.25165970002894833,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric_monotone,cal_slope,4,temporal fold,0.9698708414996389,0.060691763438345175,0.9540264284555129,0.9364391576388615,0.98745811231629,0.9156468347201232,1.055783674367406,0.9279058572815719,1.0276802387618316,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric_monotone,oe_ratio,4,temporal fold,1.021457484154743,0.18119862005768828,1.0572318936988983,0.9161386866772461,1.1625506911763952,0.7944076511613704,1.1769584980598051,0.8755616748386208,1.1673532934708652,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_monotone,brier,4,temporal fold,0.0239325638067488,0.0016117003920816323,0.0241417261745559,0.0232463989033794,0.0248278910779253,0.0218172664730166,0.0256295364048668,0.02250311884699865,0.02515284639869185,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_monotone,logloss,4,temporal fold,0.09759373285354533,0.005090482063146862,0.09779327398455545,0.09556875137326892,0.09981825546483185,0.0912141963735886,0.1035741870714818,0.09305221684584525,0.10193570773023528,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_monotone,ece,4,temporal fold,0.006191531440183901,0.0015758419570217463,0.00605125785458755,0.005432958549117175,0.006809830745654275,0.0044333078643859,0.0082303021871746,0.0049090659645763,0.007614270501387851,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_monotone,ici,4,temporal fold,0.0068800162753206995,0.0018839456492332888,0.0062779516450417495,0.006018806261951675,0.007139161658410775,0.0053378142057854,0.0096263476054139,0.00558088557335815,0.008781211607562199,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_monotone,cal_intercept,4,temporal fold,-0.054471723725192545,0.379439044800206,-0.04266966451023915,-0.24227582128690195,0.14513443305147025,-0.518032404577984,0.3854848386976921,-0.372269895641139,0.25152438897580043,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_monotone,cal_slope,4,temporal fold,0.9704137618161273,0.060124647452629104,0.9544513176791107,0.9373710947510632,0.9874939847441748,0.9170461049004625,1.0557063070058252,0.9289737146729198,1.0278162530963515,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_monotone,oe_ratio,4,temporal fold,1.0214171369752545,0.18129315478737293,1.0572377625062428,0.9160927856465416,1.1625621138349558,0.7942035498436106,1.1769894730449215,0.8754630403788979,1.167371233571611,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_unconstrained,brier,4,temporal fold,0.02400997366414775,0.0013603044930146988,0.024059274618321302,0.023410475406746803,0.02465877287572225,0.0223207850310994,0.025600560388849,0.022826799699494547,0.0251438466746274,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_unconstrained,logloss,4,temporal fold,0.09774565050422118,0.0043043427543582,0.09777234639881721,0.09627790622357953,0.09924009067945885,0.0924519237466919,0.1029859854725584,0.09383680758045868,0.10162779753338765,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_unconstrained,ece,4,temporal fold,0.006401167756385599,0.0026800683071551926,0.0056898220386609,0.0046480702268438005,0.007442919568202699,0.0041093902677833,0.0101156366804373,0.0044685102404903,0.0087936350636273,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
