dataset,model,metric,n_units,unit,mean,sd,median,q1,q3,min,max,resampling_interval_low,resampling_interval_high,resamples_enumerated,interval_interpretation
Sparkov,lightgbm,pr_auc,6,temporal fold,0.9727630871784735,0.009386674431645781,0.9772462476532535,0.9656697547772666,0.9793649474885185,0.959522261167459,0.9806816620113309,0.9659385330980262,0.9791551043868826,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,value_capture_0.01,6,temporal fold,0.886463314532674,0.01726896514385177,0.8904091972936683,0.879421082186979,0.8921541683140519,0.8591885560355681,0.9102787341008769,0.8729899442783341,0.8982070153225625,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,pr_auc,6,temporal fold,0.9722969409234676,0.008875279643351736,0.9753947058267307,0.9676869214757955,0.9790361293170865,0.9577005329215069,0.9799241037931488,0.9653152402982156,0.9782484778189299,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,roc_auc,6,temporal fold,0.999240216574177,0.0007831768983878751,0.9995863779567514,0.9992457648602304,0.9996642030553313,0.9977000941241452,0.9997460774911655,0.9985956863291752,0.9996669683198564,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,brier,6,temporal fold,0.0004370679901815083,0.00011329091499785669,0.00047762000031062495,0.00038564011629196247,0.0005091862585686,0.0002460854375385,0.0005463940033223,0.0003472138061320781,0.0005124853026548084,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,logloss,6,temporal fold,0.0018310380352582834,0.000488794961376506,0.002035510347923175,0.001624464319320325,0.0021720673830713747,0.00098544682259665,0.0022247253218665502,0.001442510911753376,0.002146184628751708,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,precision_0.005,6,temporal fold,0.7752665888444548,0.22265226413096761,0.844050094050094,0.7295936621518017,0.9067256912084499,0.3646131805157593,0.9798270893371758,0.5959826289339183,0.9115989078723851,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,recall_0.005,6,temporal fold,0.948736925085733,0.037241709494085375,0.952612318432609,0.9364142385926333,0.9764015244652078,0.8854166666666666,0.9864341085271318,0.9200323782160839,0.9740132080795507,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,value_capture_0.005,6,temporal fold,0.9799503115811508,0.022406649708978706,0.9894003757857315,0.9638493484749014,0.9969259513144029,0.9474094502936681,0.9987248517598554,0.9634187974723298,0.995461185244428,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,xgboost,value_capture_0.01,6,temporal fold,0.9962424942299851,0.00394993170034605,0.9979467022092497,0.994208299563337,0.9987160507767087,0.9898140162366693,0.9998128790775145,0.993146970516951,0.9988833822672071,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,lightgbm,pr_auc,4,temporal fold,0.5088527911550533,0.03769744961573009,0.513673774519628,0.4862959417097017,0.5362306239649797,0.4627559528060721,0.5453076627748852,0.47844927874182513,0.5392563035682815,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
