model,policy,delay_days,calibration,pr_auc,pr_auc_sd,roc_auc,brier,logloss,cal_intercept,cal_slope,recall_005,precision_005,value_capture_005,recall_01,value_capture_01
logistic,sliding180_weighted,14,platt,0.3202481595585215,0.09267771316176143,0.9662222200206995,0.003639348200522363,0.015187733185787996,-0.30850892265637714,0.9743994077046713,0.507641805179278,0.41336124062218255,0.6639649764702898,0.733559723526123,0.8852432134974646
logistic,sliding180_weighted,14,raw,0.31838253837758707,0.09275953728593245,0.9662170859541689,0.04391305800527334,0.2078823521733284,-5.505436658859253,0.43410209318002063,0.507641805179278,0.41336124062218255,0.6639649764702898,0.733559723526123,0.8852432134974646
logistic,sliding180_weighted,30,beta,0.3200620365544608,0.09267586925607514,0.9662694633074435,0.0031614554075834653,0.012880252984662851,-0.20144416143496832,0.9928751687208811,0.5072077774015004,0.41288093322544867,0.6639491256090998,0.7333153351197844,0.884484432527748
logistic,sliding180_weighted,30,platt,0.32006203953799,0.09267585990486041,0.9662684165416647,0.0036396486684679985,0.01518767885863781,-0.30732251207033795,0.9746253887812296,0.5072077774015004,0.41288093322544867,0.6639491256090998,0.7333153351197844,0.884484432527748
logistic,sliding180_weighted,30,raw,0.3183334727848956,0.09273509138366956,0.9662636146541055,0.043896015733480453,0.20786306510368982,-5.5053714116414385,0.43410026530424756,0.5072077774015004,0.41288093322544867,0.6639491256090998,0.7333153351197844,0.884484432527748
xgboost,capped_weighted,0,beta,0.9724552019352787,0.00850923770865133,0.9992040239650689,0.0004348428738012444,0.0018299599760212004,0.06994273141026497,1.0147752712170284,0.9488326440903893,0.7751556596515523,0.9805505178077207,0.9844490920581288,0.9967323750612133
xgboost,capped_weighted,0,platt,0.9724552019352787,0.008509237708651333,0.9992040239650689,0.00043450578838625614,0.0018286111444467679,0.04269960088034471,1.0045717805624008,0.9488326440903893,0.7751556596515523,0.9805505178077207,0.9844490920581288,0.9967323750612133
xgboost,capped_weighted,0,raw,0.9724552019352787,0.008509237708651309,0.9992040239650689,0.0009293070227916663,0.003698436038879057,-2.6922027468681335,0.9150640418132147,0.9488326440903893,0.7751556596515523,0.9805505178077207,0.9844490920581288,0.9967323750612133
xgboost,capped_weighted,7,beta,0.9720005354504847,0.00858900563464561,0.9992857237554632,0.0004351242278062273,0.0018364556647914772,0.057855983885625996,1.0097835560639699,0.9488967457394947,0.775457311449144,0.9805938811744621,0.9854951442934864,0.9965466240521027
xgboost,capped_weighted,7,platt,0.9720005354504847,0.008589005634645621,0.9992857237554632,0.00043477364791518386,0.0018340719252591953,0.027603256826599438,1.0027359177668889,0.9488967457394947,0.775457311449144,0.9805938811744621,0.9854951442934864,0.9965466240521027
