n_test,prevalence,pr_auc,roc_auc,brier,logloss,precision_0.005,recall_0.005,value_capture_0.005,precision_0.01,recall_0.01,value_capture_0.01,precision_0.02,recall_0.02,value_capture_0.02,fold,model,calibration,train_n,val_n,cal_n
50000,0.0308,0.49414260467757826,0.8891319792465067,0.06080833267111132,0.22304777619437355,0.972,0.1577922077922078,0.09389865820928324,0.884,0.287012987012987,0.18576682055410176,0.612,0.3974025974025974,0.27034241312016205,3,lightgbm,raw,300000,40000,40000
50000,0.0308,0.49414260467757826,0.8891319792465067,0.020943859956288585,0.08863644328692401,0.972,0.1577922077922078,0.09389865820928324,0.884,0.287012987012987,0.18576682055410176,0.612,0.3974025974025974,0.27034241312016205,3,lightgbm,platt,300000,40000,40000
50000,0.0308,0.5165935621081891,0.9018186173092282,0.020127596333622932,0.08491278439760208,0.94,0.1525974025974026,0.09702015649923151,0.88,0.2857142857142857,0.1887774193063925,0.645,0.41883116883116883,0.3116606793064658,3,xgboost,raw,300000,40000,40000
50000,0.0308,0.5165935621081891,0.9018186173092282,0.020473390817642212,0.08586699515581131,0.94,0.1525974025974026,0.09702015649923151,0.88,0.2857142857142857,0.1887774193063925,0.645,0.41883116883116883,0.3116606793064658,3,xgboost,platt,300000,40000,40000
50000,0.037,0.14724875120676445,0.8211602761640144,0.15757079888044198,0.882294093642333,0.024,0.003243243243243243,0.000742196537257563,0.022,0.005945945945945946,0.0019111560834382247,0.022,0.011891891891891892,0.004750057838448403,4,logistic,raw,300000,40000,40000
50000,0.037,0.14735213245132592,0.8212102045971205,0.05414393517007452,0.3325123572388166,0.036,0.004864864864864865,0.002783237014715861,0.034,0.009189189189189189,0.0056592485965889176,0.029,0.015675675675675675,0.00754782335038108,4,logistic,platt,300000,40000,40000
50000,0.037,0.5332049443616778,0.9026950689006763,0.0622176078529204,0.22852017050719878,0.948,0.1281081081081081,0.0764688914648634,0.91,0.24594594594594596,0.1384009805336581,0.719,0.3886486486486487,0.2726495644124598,4,lightgbm,raw,300000,40000,40000
50000,0.037,0.5332049443616778,0.9026950689006763,0.023573785448281686,0.0966660092002053,0.948,0.1281081081081081,0.0764688914648634,0.91,0.24594594594594596,0.1384009805336581,0.719,0.3886486486486487,0.2726495644124598,4,lightgbm,platt,300000,40000,40000
50000,0.037,0.5545606938225943,0.9096917178861105,0.022935183718800545,0.09395315498113632,0.928,0.1254054054054054,0.07389248235918511,0.906,0.24486486486486486,0.14107808715452883,0.748,0.4043243243243243,0.3056405307710176,4,xgboost,raw,300000,40000,40000
50000,0.037,0.5545606938225943,0.9096917234992,0.023013882339000702,0.09401127696037292,0.928,0.1254054054054054,0.07389248235918511,0.906,0.24486486486486486,0.14107808715452883,0.748,0.4043243243243243,0.3056405307710176,4,xgboost,platt,300000,40000,40000
